  a     b    E1min   energy   E2min   energy    E3min   energy    E4min   energy
3.958 3.958   A -39.81452908  D -39.81450779  C -39.80641244  B -39.80632022
3.960 3.932   C -39.81443737  B -39.81440149  D -39.81333328  A -39.81281327
3.960 3.934   C -39.81386965  B -39.81383978  D -39.81332507  A -39.81294459
3.960 3.936   D -39.81334658  C -39.81328195  B -39.81326468  A -39.81307773
3.960 3.938   D -39.81339603  A -39.81321065  C -39.81265630  B -39.81150238
3.960 3.940   D -39.81346261  A -39.81334674  C -39.81203780  B -39.81110009
3.960 3.942   D -39.81354384  A -39.81348566  C -39.81139886  B -39.81128424
3.960 3.944   D -39.81364311  A -39.81362769  B -39.81106306  C -39.81072188
3.960 3.946   A -39.81378319  D -39.81377740  B -39.81083728  C -39.81005589
3.960 3.948   A -39.81392668  D -39.81389970  C -39.80935713  B -39.80913496
3.960 3.950   A -39.81407422  D -39.81404790  C -39.80864289  B -39.80857012
3.960 3.952   A -39.81423293  D -39.81419917  B -39.80797529  C -39.80791488
3.960 3.954   A -39.81438741  D -39.81435743  B -39.80731282  C -39.80716641
3.960 3.956   A -39.81455091  D -39.81455039  B -39.80665813  C -39.80639654
3.960 3.958   A -39.81472448  D -39.81470971  B -39.80593273  C -39.80561458
3.960 3.960   A -39.81490498  D -39.81489421  B -39.80521136  C -39.80481478
3.962 3.932   C -39.81367234  D -39.81357473  A -39.81329421  B -39.81261655
3.962 3.934   D -39.81359746  A -39.81341052  C -39.81308224  B -39.81227000
3.962 3.936   D -39.81364987  A -39.81351904  C -39.81248774  B -39.81189849
3.962 3.938   D -39.81370068  A -39.81363497  B -39.81219494  C -39.81188587
3.962 3.940   D -39.81376891  A -39.81375003  B -39.81200012  C -39.81125975
3.962 3.942   A -39.81387362  D -39.81386701  C -39.81060073  B -39.81052904
3.962 3.944   A -39.81399849  D -39.81397743  B -39.81000613  C -39.80994691
3.962 3.946   A -39.81412022  D -39.81409730  B -39.80949270  C -39.80926829
3.962 3.948   A -39.81424438  D -39.81421318  B -39.80885583  C -39.80856500
3.962 3.950   A -39.81437146  D -39.81434679  B -39.80824146  C -39.80784705
3.962 3.952   A -39.81451212  D -39.81448897  B -39.80757317  C -39.80711659
3.962 3.954   A -39.81464313  D -39.81463404  B -39.81023618  C -39.80636427
3.962 3.956   A -39.81478329  D -39.81476584  B -39.80983769  C -39.80559138
3.962 3.958   A -39.81493050  D -39.81492215  B -39.80952890  C -39.80480217
3.962 3.960   A -39.81508210  D -39.81508048  B -39.80910904  C -39.80399439
3.962 3.962   A -39.81524738  D -39.81524017  B -39.80864042  C -39.80317850
3.964 3.932   D -39.81389697  A -39.81377682  B -39.81316144  C -39.81287055
3.964 3.934   D -39.81393168  A -39.81386618  B -39.81301153  C -39.81229528
3.964 3.936   D -39.81399487  A -39.81395830  B -39.81285707  C -39.81170399
3.964 3.938   A -39.81406068  D -39.81405561  B -39.81272314  C -39.81109783
3.964 3.940   A -39.81415561  D -39.81413041  B -39.81078419  C -39.81047063
3.964 3.942   A -39.81425472  D -39.81421416  B -39.81236629  C -39.80980206
3.964 3.944   A -39.81436187  D -39.81434391  B -39.80962259  C -39.80914082
3.964 3.946   A -39.81446289  D -39.81443046  B -39.80904394  C -39.80845726
3.964 3.948   A -39.81455827  D -39.81453173  B -39.81172986  C -39.80774907
3.964 3.950   A -39.81466882  D -39.81465227  B -39.81147245  C -39.80702905
3.964 3.952   A -39.81478429  D -39.81477202  B -39.81096392  C -39.80629546
3.964 3.954   A -39.81489048  D -39.81487684  B -39.81075847  C -39.80553598
3.964 3.956   A -39.81501183  D -39.81500927  B -39.81056801  C -39.80476227
