DFT DP
-3.177071228027343750e+02 -3.177216554682604510e+02
-3.179409484863281250e+02 -3.179696980966587034e+02
-3.177721252441406250e+02 -3.177861356898876579e+02
-3.166076354980468750e+02 -3.165928756855329311e+02
-3.157426452636718750e+02 -3.157707313996986045e+02
-3.178826599121093750e+02 -3.179063206312933971e+02
-3.170350646972656250e+02 -3.170723327097438755e+02
-3.179174194335937500e+02 -3.179295945751098316e+02
-3.170170898437500000e+02 -3.169955797723005162e+02
-3.180384521484375000e+02 -3.180657965001217917e+02
-3.169735717773437500e+02 -3.169900491687739645e+02
-3.161564331054687500e+02 -3.161530125059733791e+02
-3.168770446777343750e+02 -3.168945613293757333e+02
-3.179737243652343750e+02 -3.179867061324158044e+02
-3.170610351562500000e+02 -3.170856628734042033e+02
-3.179291076660156250e+02 -3.179522767496083588e+02
-3.178322753906250000e+02 -3.178622180684527621e+02
-3.177786865234375000e+02 -3.177979095024196567e+02
-3.177767944335937500e+02 -3.178021293621736731e+02
-3.179446411132812500e+02 -3.179728763376047027e+02
-3.177733459472656250e+02 -3.177960342768958526e+02
-3.167544555664062500e+02 -3.167665922848311766e+02
-3.159641418457031250e+02 -3.159682624677173521e+02
-3.165233764648437500e+02 -3.165421711487626339e+02
-3.179233398437500000e+02 -3.179143592319186382e+02
-3.170474548339843750e+02 -3.170687670014746686e+02
-3.179030456542968750e+02 -3.179277775759062479e+02
-3.179067687988281250e+02 -3.179225067256976445e+02
-3.150768737792968750e+02 -3.150811566578607881e+02
-3.178642272949218750e+02 -3.179055021762625302e+02
-3.170154418945312500e+02 -3.170386758452339677e+02
-3.168011474609375000e+02 -3.167987244204063586e+02
-3.158216857910156250e+02 -3.158122507208234993e+02
-3.178133850097656250e+02 -3.178465933990651138e+02
-3.179532775878906250e+02 -3.179366650327990556e+02
-3.178976440429687500e+02 -3.178989341417867536e+02
-3.166978759765625000e+02 -3.167076704756816525e+02
-3.179786071777343750e+02 -3.179964802390531418e+02
-3.158646240234375000e+02 -3.158708830545551223e+02
-3.177623291015625000e+02 -3.177843109695661497e+02
-3.156447143554687500e+02 -3.156647482363210884e+02
-3.178026123046875000e+02 -3.178235282933434860e+02
-3.169768676757812500e+02 -3.169967783884808341e+02
-3.169876098632812500e+02 -3.170195675501423693e+02
-3.179316101074218750e+02 -3.179452576076714081e+02
-3.173742675781250000e+02 -3.173767522061101545e+02
-3.166742858886718750e+02 -3.167184229407920384e+02
-3.178672485351562500e+02 -3.178877396501657699e+02
-3.167035522460937500e+02 -3.167227456304473776e+02
-3.162140197753906250e+02 -3.162408134382952767e+02
-3.178652038574218750e+02 -3.178621697300159212e+02
-3.168279113769531250e+02 -3.168259034667617016e+02
-3.178321228027343750e+02 -3.178528496265626586e+02
-3.167429199218750000e+02 -3.167716585769434232e+02
-3.171300048828125000e+02 -3.171367054878830345e+02
-3.161163330078125000e+02 -3.161236428621934351e+02
-3.166986999511718750e+02 -3.167148362373647501e+02
-3.171083984375000000e+02 -3.171391042702534833e+02
-3.166716308593750000e+02 -3.166769353701366754e+02
-3.178019104003906250e+02 -3.178336390380476359e+02
-3.172030334472656250e+02 -3.172082379360213622e+02
-3.167993164062500000e+02 -3.168267503910151390e+02
-3.162050476074218750e+02 -3.162012816702823557e+02
-3.166741943359375000e+02 -3.166945199942665568e+02
-3.169716491699218750e+02 -3.169622901651644042e+02
-3.179350280761718750e+02 -3.179578063707825208e+02
-3.165132446289062500e+02 -3.165423811099365707e+02
-3.179285278320312500e+02 -3.179522038406701654e+02
-3.177165222167968750e+02 -3.177019113309486329e+02
-3.180201416015625000e+02 -3.180478382592170874e+02
-3.168985900878906250e+02 -3.168617484777114441e+02
-3.177063293457031250e+02 -3.177312380670741163e+02
-3.166266174316406250e+02 -3.166658590374655660e+02
-3.178792419433593750e+02 -3.179016809433541653e+02
-3.178883056640625000e+02 -3.178693669816253760e+02
-3.178612365722656250e+02 -3.178864380481610965e+02
-3.180587463378906250e+02 -3.180763773821462337e+02
-3.172560119628906250e+02 -3.172689891151349002e+02
-3.169312438964843750e+02 -3.169095151256428835e+02
-3.178474121093750000e+02 -3.178692419504870372e+02
-3.168500061035156250e+02 -3.168194175116617544e+02
-3.166125488281250000e+02 -3.166261876619504960e+02
-3.177787475585937500e+02 -3.178064991440551808e+02
-3.179708251953125000e+02 -3.179911601777283749e+02
-3.177513427734375000e+02 -3.177752599038575454e+02
